vinho_id,rotulo,ano_producao,uva_id,pais_producao_id
0,jolly-barolo,1996,30,1
1,roaring-claret,2020,41,0
2,potential-chardonnay,1968,6,2
3,bright-bardolino,1994,15,0
4,mild-sauvignon,1944,59,1
5,emerald-zinfandel,1948,1,2
6,right-arneis,1978,0,3
7,agile-barbaresco,1916,47,1
8,brownian-chardonnay,1996,11,2
9,decidable-amarone,1968,68,2
10,ragged-chablis,1928,36,3
11,shy-sauvignon,1974,31,0
12,parallel-chardonnay,2014,8,0
13,concrete-zinfandel,1988,18,1
14,cruel-albariño,1916,47,3
15,vibrant-muscat,1970,2,0
16,smart-claret,1950,19,3
17,radiant-champagne,1950,23,0
18,serious-bardolino,1988,53,2
19,green-mead,1934,32,0
20,khaki-malbec,1950,23,3
21,strong-chinon,1960,74,2
22,sluggish-pinot,2018,71,2
23,mean-barolo,1942,35,2
24,big-barbaresco,1934,37,3
25,oscillating-dolcetto,1978,24,1
26,cold-marsanne,2006,17,1
27,threaded-chablis,1968,65,1
28,charcoal-arneis,1988,53,3
29,chilly-chardonnay,1958,34,2
30,funny-barbaresco,1964,60,1
31,internal-bardolino,1928,40,3
32,flat-claret,1934,32,1
33,iron-marsanne,1966,67,0
34,weathered-marsanne,1934,32,1
35,warm-champagne,2002,13,1
36,frosty-claret,1964,20,2
37,warm-banylus,1916,47,3
38,crunchy-burgundy,1950,19,2
39,lower-chianti,1920,7,2
40,worn-pinot,1968,6,2
41,broad-claret,1958,66,2
42,jovial-sherry,1980,16,2
43,buoyant-lambrusco,1934,32,1
44,black-chardonnay,1916,47,2
45,fast-lambrusco,1994,58,2
46,collinear-claret,1930,21,3
47,canary-champagne,1996,29,0
48,relaxed-lambrusco,1934,37,1
49,achromatic-prosecco,1998,50,1
50,acute-pinot,1988,53,1
51,colorful-chinon,1920,7,2
52,bright-chianti,1958,26,2
53,ragged-sauvignon,1958,26,2
54,annoying-zinfandel,1964,20,3
55,customer-zinfandel,1996,29,0
56,central-marsanne,1968,27,2
57,buoyant-beaujolais,1936,63,0
58,dyadic-prosecco,1968,68,3
59,gray-auslese,1964,60,1
60,salmon-blanc,1916,47,2
61,cheerful-burgundy,1988,18,0
62,smoggy-muscat,1956,3,0
63,elaborate-banylus,1958,34,2
64,large-mead,1936,63,1
65,elaborate-pinot,1952,48,1
66,inverse-chinon,1980,16,1
67,parallel-albariño,1958,43,3
68,smoggy-barolo,1996,29,0
69,sunny-sauvignon,1912,45,0
70,brutal-madeira,1916,5,0
71,silver-dolcetto,1928,36,3
72,human-burgundy,1950,23,0
73,iron-albariño,1912,45,3
74,annoying-rosé,1958,52,1
75,staccato-rosé,1944,59,2
76,plum-grappa,1920,62,0
77,jolly-rosé,1974,31,0
78,crunchy-chablis,1934,32,1
79,muted-marsanne,1958,66,2
80,wan-sauvignon,2006,17,3
81,isomorphic-albariño,1978,24,2
82,intricate-lambrusco,1988,53,1
83,balanced-amarone,1974,57,1
84,silver-marsanne,1958,66,2
85,kind-chianti,1912,45,3
86,bone-chianti,1950,23,3
87,relaxed-barbaresco,1974,31,0
88,ebony-prosecco,2016,46,3
89,champagne-sauvignon,1996,22,2
90,inflammable-beaujolais,1968,65,1
91,breezy-port,1958,26,0
92,ordered-burgundy,1948,1,0
93,brave-riesling,1980,16,1
94,creamy-muscat,1934,32,3
95,absolute-sauvignon,2014,8,1
96,cool-chablis,1998,42,3
97,merciless-merlot,1916,47,1
98,great-marsanne,1916,38,2
99,investor-riesling,2020,41,3
100,glass-barolo,1972,25,2
101,quantum-chardonnay,1948,49,0
102,camel-madeira,1978,24,1
103,mute-zinfandel,1950,23,0
104,partial-chardonnay,1916,12,0
105,bare-chardonnay,1944,59,0
106,numerous-banylus,1968,6,0
107,cross-auslese,1910,56,1
108,exothermic-banylus,1942,35,0
109,fast-madeira,1948,44,1
